risk_true,risk_predicted
0.13007413,0.13095777
0.12452919,0.1262424
0.14224872,0.14448223
0.10754332,0.112664655
0.15720771,0.15685552
0.13452914,0.1262424
0.11856474,0.12842697
0.12434326,0.13250957
0.14577778,0.13889796
0.15151516,0.15685552
0.13283208,0.13363962
0.113520406,0.09688186
0.14304462,0.13603741
0.1525199,0.14452396
0.13733906,0.13871811
0.16165951,0.16692235
0.112716764,0.10872439
0.1447178,0.13913146
0.15296052,0.14448223
0.15304348,0.14517406
0.14464286,0.1472721
0.14074074,0.13451251
0.13636364,0.13763054
0.17344753,0.16276051
0.12803532,0.112664655
0.08527132,0.0845655
0.15544042,0.13250957
0.1697128,0.16115822
0.125,0.13819455
0.17270195,0.1829399
0.11048159,0.12350308
0.16320474,0.12842697
0.13414635,0.16276051
0.17701863,0.16960542
0.11838006,0.13889796
0.12140575,0.13363962
0.15,0.15791224
0.117056854,0.14452396
0.11447811,0.097301714
0.121527776,0.12185725
0.14545454,0.14937192
0.091240875,0.11301837
0.10486891,0.102807455
0.0859375,0.09688186
0.14403293,0.13922697
0.1446281,0.13913146
0.16666667,0.16243255
0.13777778,0.14490846
0.13744076,0.13603741
0.1042654,0.121111065
0.1875,0.16692235
0.09134615,0.13095777
0.16582915,0.13095777
0.16666667,0.18863301
0.1185567,0.122151345
0.119170986,0.13871811
0.13989638,0.1472721
0.1,0.11623243
0.15873016,0.16560625
0.15846995,0.14285493
0.09392265,0.10077541
0.10555556,0.13095777
0.11173184,0.11974568
0.118644066,0.13451251
0.118644066,0.15131745
0.15517241,0.13763054
0.18965517,0.1829399
0.15662651,0.16650912
0.09146342,0.09780208
0.111801244,0.10872439
0.13636364,0.13366926
0.12418301,0.113842875
0.118421055,0.14517406
0.15436241,0.13251664
0.12328767,0.12855802
0.1724138,0.18242596
0.1056338,0.112380065
0.107913665,0.13250957
0.13235295,0.14141335
0.0,0.13095777
0.1037037,0.1069974
0.15671642,0.16243255
0.1716418,0.16960542
0.129771,0.11135293
0.17557251,0.14724103
0.1007752,0.11801558
0.12598425,0.123179935
0.18548387,0.13819455
0.094827585,0.104086585
0.14782609,0.16115822
0.15044248,0.17860492
0.13636364,0.12037759
0.14545454,0.14285493
0.14018692,0.15316369
0.1923077,0.1721706
0.15686275,0.12779014
0.17,0.18084712
0.15,0.12350308
0.121212125,0.12758633
0.14285715,0.14937192
0.11702128,0.12955117
0.12765957,0.12564187
0.14893617,0.11974774
0.13829787,0.1399845
0.11702128,0.114674896
0.06741573,0.09929721
0.08988764,0.07773914
0.18181819,0.16856325
0.125,0.0845655
0.14117648,0.13095777
0.0952381,0.1110968
0.071428575,0.11094764
0.15476191,0.15590565
0.10843374,0.11250588
0.084337346,0.05321436
0.07317073,0.094352394
0.13414635,0.14838763
0.085365854,0.13526326
0.086419754,0.13095777
0.1875,0.17924286
0.16455697,0.11301837
0.14102565,0.13095777
0.102564104,0.08648865
0.077922076,0.097301714
0.116883114,0.1173404
0.15584415,0.1404817
0.064935066,0.08740172
0.17105263,0.17336348
0.16,0.16166113
0.093333334,0.12664193
0.093333334,0.102807455
0.10666667,0.13251664
0.14864865,0.13528459
0.10810811,0.1244847
0.15068494,0.15791224
0.20547946,0.19066003
0.12328767,0.11623243
0.15277778,0.13095777
0.11111111,0.11050257
0.09859155,0.08660554
0.1,0.08739807
0.2,0.21143073
0.1,0.13095777
0.072463766,0.076509096
0.17391305,0.13366926
0.23076923,0.25667483
0.092307694,0.11979334
0.078125,0.13095777
0.032258064,0.050626077
0.13333334,0.13489705
0.083333336,0.08549625
0.2,0.22716719
0.16666667,0.13250957
0.118644066,0.11379698
0.16949153,0.121111065
0.20338982,0.12507254
0.12068965,0.12185725
0.13793103,0.119319476
0.0,0.14448223
0.12068965,0.13443501
0.1754386,0.122151345
0.0877193,0.11250588
0.07017544,0.12356721
0.14285715,0.15962014
0.14285715,0.13922697
0.16071428,0.16650912
0.125,0.13102426
0.2,0.14490846
0.2,0.15869322
0.23636363,0.15131745
0.09090909,0.11801558
0.18181819,0.18898667
0.11111111,0.12037759
0.074074075,0.12502761
0.16981132,0.13221844
0.20754717,0.12855802
0.16981132,0.13095777
0.13207547,0.12914976
0.1509434,0.14857116
0.09803922,0.1069974
0.019607844,0.07076315
0.15686275,0.13496958
0.14,0.13026977
0.2,0.15056841
0.08163265,0.113842875
0.125,0.11666297
0.125,0.16560625
0.083333336,0.13680895
0.104166664,0.09780208
0.14893617,0.123632304
0.10869565,0.112380065
0.06521739,0.1264514
0.0,0.1262424
0.17777778,0.17992692
0.11111111,0.122521
0.06666667,0.14724103
0.18181819,0.1867712
0.09090909,0.123179935
0.18181819,0.145237
0.11363637,0.12651421
0.20454545,0.18395758
0.0,0.09688186
0.0,0.13889796
0.27906978,0.23236178
0.11627907,0.09144618
0.093023255,0.08649893
0.11627907,0.13095777
0.11904762,0.1638664
0.071428575,0.0755656
0.23809524,0.16086753
0.0952381,0.07373986
0.11904762,0.14246847
0.1904762,0.18047404
0.21428572,0.25168017
0.12195122,0.09705215
0.17073171,0.1431392
0.0,0.12842697
0.0,0.16960542
0.24390244,0.22716719
0.14634146,0.1505208
0.14634146,0.11974568
0.24390244,0.17438708
0.075,0.111962564
0.25,0.13526326
0.125,0.12432654
0.275,0.25168017
0.2,0.1721706
0.1,0.1399845
0.0,0.112664655
0.2,0.12955117
0.0,0.13250957
0.102564104,0.09138066
0.07692308,0.14081551
0.15384616,0.1489832
0.07692308,0.14141335
0.12820514,0.13696441
0.20512821,0.13557786
0.20512821,0.19066003
0.05263158,0.10077541
0.10526316,0.08556243
0.15789473,0.13095777
0.05263158,0.109462276
0.10526316,0.12779014
0.2631579,0.21935672
0.05263158,0.1404817
0.10526316,0.08660554
0.13513513,0.13443501
0.21621622,0.17860492
0.16666667,0.16207798
0.11111111,0.13071029
0.16666667,0.22203846
0.1388889,0.12758633
0.11111111,0.11974774
0.2,0.21621105
0.14285715,0.13095777
0.17142858,0.15590565
0.14285715,0.1632598
0.17142858,0.12461205
0.05882353,0.11095508
0.14705883,0.1673782
0.2647059,0.21837467
0.20588236,0.15316369
0.05882353,0.13095777
0.09090909,0.10987982
0.18181819,0.10657661
0.09090909,0.13095777
0.121212125,0.122247845
0.24242425,0.16856325
0.18181819,0.15816103
0.125,0.11239595
0.125,0.118298806
0.0,0.032297123
0.25,0.19812968
0.125,0.17506643
0.03125,0.05321436
0.125,0.122151345
0.125,0.1660185
0.15625,0.1042723
0.09375,0.1262424
0.06451613,0.10144501
0.032258064,0.14271815
0.09677419,0.12432654
0.19354838,0.16467632
0.16129032,0.13095777
0.19354838,0.2079908
0.16129032,0.20058687
0.033333335,0.11135293
0.033333335,0.09707745
0.2,0.17924286
0.16666667,0.17336348
0.1,0.18713401
0.033333335,0.11519236
0.1,0.10885466
0.16666667,0.18242596
0.13333334,0.10789925
0.27586207,0.13095777
0.06896552,0.08256153
0.10344828,0.10196918
0.13793103,0.104086585
0.13793103,0.09103492
0.10344828,0.09240646
0.1724138,0.15663199
0.0,0.076743074
0.20689656,0.18047404
0.14285715,0.08769876
0.0,0.051227994
0.10714286,0.12765618
0.0,0.13913146
0.10714286,0.07747949
0.14285715,0.1668059
0.14285715,0.13250957
0.25,0.1262424
0.11111111,0.09929721
0.074074075,0.07761789
0.074074075,0.11189684
0.11111111,0.0897361
0.22222222,0.13886024
0.0,0.14857116
0.074074075,0.14706807
0.0,0.15685552
0.18518518,0.18830153
0.18518518,0.21143073
0.074074075,0.12564187
0.11111111,0.113720745
0.07692308,0.12507254
0.15384616,0.13095777
0.115384616,0.18084712
0.15384616,0.1350056
0.0,0.13819455
0.07692308,0.07779971
0.1923077,0.22472864
0.115384616,0.14008023
0.0,0.09397364
0.15384616,0.07076315
0.24,0.1896742
0.24,0.14869568
0.04,0.119319476
0.08,0.10910791
0.2,0.12909092
0.16,0.13095777
