epoch,activation,layers,hidden_dim_1,hidden_dim_2,learning_rate,value
500,RELU,1,200,,0.002079834248769614,0.4246804612080256
500,RELU,1,200,,0.002459008756917648,0.42483359571297963
500,RELU,1,200,,0.002643284653123615,0.4259278798302015
500,RELU,1,200,,0.0029480692565623605,0.426749396165212
500,RELU,1,200,,0.0010523607023301205,0.4280463322599729
5000,LRELU,1,300,,8.567606281085635e-05,0.43087476058006285
2000,RELU,1,200,,0.0006076284531070548,0.43263035459816457
5000,LRELU,1,300,,0.00019843753658463557,0.44072317871848743
5000,LRELU,1,400,,2.8831882562106644e-05,0.452283153941234
10000,RELU,1,400,,1.2468061463753427e-05,0.456650360472997
500,RELU,2,100,400.0,0.0011211432531345136,0.4733890555302302
1000,LRELU,1,200,,0.00012190867440743402,0.4797055492897828
100,RELU,1,200,,0.000741454349481486,0.5068969482183456
1000,LRELU,1,300,,5.810280095001297e-05,0.51430373219649
5000,RELU,1,100,,0.001100450163364042,0.5929805204172929
500,RELU,2,500,400.0,0.0030880826054098397,0.6198603336413702
500,LRELU,2,300,100.0,0.005844514002780703,0.6407235278685888
100,LRELU,1,300,,6.735653987293421e-05,0.6628716017802556
2000,RELU,2,400,100.0,0.0059061637955824375,0.9128206058492263
10000,LRELU,2,500,300.0,0.00022776210358276675,0.9171456091125806
