Epoch,Loss_train
1,"(0.6951820850372314,)"
2,"(0.6743935942649841,)"
3,"(0.6549184322357178,)"
4,"(0.6366375684738159,)"
5,"(0.6194798946380615,)"
6,"(0.6034122705459595,)"
7,"(0.5883988738059998,)"
8,"(0.5743809342384338,)"
9,"(0.5613292455673218,)"
10,"(0.5492194890975952,)"
11,"(0.5380381941795349,)"
12,"(0.5277702808380127,)"
13,"(0.518395185470581,)"
14,"(0.509907066822052,)"
15,"(0.5022791028022766,)"
16,"(0.49547773599624634,)"
17,"(0.48944714665412903,)"
18,"(0.4841345548629761,)"
19,"(0.47949275374412537,)"
20,"(0.47545325756073,)"
21,"(0.4719441831111908,)"
22,"(0.4689001142978668,)"
23,"(0.46625086665153503,)"
24,"(0.463922381401062,)"
25,"(0.4618494212627411,)"
26,"(0.45997220277786255,)"
27,"(0.45823249220848083,)"
28,"(0.456580251455307,)"
29,"(0.45497438311576843,)"
30,"(0.45338061451911926,)"
31,"(0.4517773389816284,)"
32,"(0.45015013217926025,)"
33,"(0.4484926164150238,)"
34,"(0.44680309295654297,)"
35,"(0.44508618116378784,)"
36,"(0.44335225224494934,)"
37,"(0.44161301851272583,)"
38,"(0.4398822486400604,)"
39,"(0.4381735920906067,)"
40,"(0.43650174140930176,)"
41,"(0.4348786771297455,)"
42,"(0.43331509828567505,)"
43,"(0.4318195581436157,)"
44,"(0.4303978979587555,)"
45,"(0.4290543496608734,)"
46,"(0.4277888834476471,)"
47,"(0.4266014099121094,)"
48,"(0.4254878759384155,)"
49,"(0.4244438111782074,)"
50,"(0.4234619736671448,)"
51,"(0.4225352704524994,)"
52,"(0.421657532453537,)"
53,"(0.42082247138023376,)"
54,"(0.42002394795417786,)"
55,"(0.4192567467689514,)"
56,"(0.41851606965065,)"
57,"(0.4177975654602051,)"
58,"(0.41709908843040466,)"
59,"(0.41641905903816223,)"
60,"(0.4157564043998718,)"
61,"(0.4151117205619812,)"
62,"(0.4144856929779053,)"
63,"(0.41387882828712463,)"
64,"(0.41329225897789,)"
65,"(0.41272732615470886,)"
66,"(0.41218501329421997,)"
67,"(0.41166648268699646,)"
68,"(0.41117212176322937,)"
69,"(0.4107019007205963,)"
70,"(0.4102557897567749,)"
71,"(0.40983301401138306,)"
72,"(0.40943294763565063,)"
73,"(0.40905410051345825,)"
74,"(0.4086952209472656,)"
75,"(0.408355176448822,)"
76,"(0.40803244709968567,)"
77,"(0.4077259302139282,)"
78,"(0.4074345827102661,)"
79,"(0.4071575999259949,)"
80,"(0.4068938195705414,)"
81,"(0.406642884016037,)"
82,"(0.4064042866230011,)"
83,"(0.4061776399612427,)"
84,"(0.4059627950191498,)"
85,"(0.4057593047618866,)"
86,"(0.4055671691894531,)"
87,"(0.4053860902786255,)"
88,"(0.40521544218063354,)"
89,"(0.4050549566745758,)"
90,"(0.404904305934906,)"
91,"(0.4047625958919525,)"
92,"(0.4046293795108795,)"
93,"(0.40450406074523926,)"
94,"(0.4043860137462616,)"
95,"(0.40427467226982117,)"
96,"(0.4041694104671478,)"
97,"(0.4040698707103729,)"
98,"(0.40397539734840393,)"
99,"(0.40388548374176025,)"
100,"(0.40379974246025085,)"
101,"(0.4037177562713623,)"
102,"(0.40363937616348267,)"
103,"(0.4035643935203552,)"
104,"(0.4034925103187561,)"
105,"(0.40342336893081665,)"
106,"(0.4033569097518921,)"
107,"(0.40329277515411377,)"
108,"(0.4032306969165802,)"
109,"(0.40317052602767944,)"
110,"(0.4031120836734772,)"
111,"(0.4030551016330719,)"
112,"(0.40299949049949646,)"
113,"(0.4029451012611389,)"
114,"(0.4028916656970978,)"
115,"(0.4028390645980835,)"
116,"(0.40278735756874084,)"
117,"(0.4027363955974579,)"
118,"(0.4026861786842346,)"
119,"(0.40263640880584717,)"
120,"(0.4025871753692627,)"
121,"(0.4025384485721588,)"
122,"(0.4024899899959564,)"
123,"(0.4024418890476227,)"
124,"(0.40239402651786804,)"
125,"(0.4023464322090149,)"
126,"(0.4022989273071289,)"
127,"(0.402251660823822,)"
128,"(0.40220457315444946,)"
129,"(0.40215760469436646,)"
130,"(0.40211090445518494,)"
131,"(0.40206435322761536,)"
132,"(0.40201789140701294,)"
133,"(0.4019717276096344,)"
134,"(0.40192553400993347,)"
135,"(0.4018794894218445,)"
136,"(0.40183353424072266,)"
137,"(0.40178778767585754,)"
138,"(0.40174221992492676,)"
139,"(0.40169668197631836,)"
140,"(0.4016512334346771,)"
141,"(0.4016059637069702,)"
142,"(0.40156084299087524,)"
143,"(0.40151578187942505,)"
144,"(0.4014708399772644,)"
145,"(0.4014260172843933,)"
146,"(0.40138134360313416,)"
147,"(0.40133681893348694,)"
148,"(0.4012923240661621,)"
149,"(0.40124785900115967,)"
150,"(0.4012033939361572,)"
151,"(0.4011591076850891,)"
152,"(0.401114821434021,)"
153,"(0.4010706841945648,)"
154,"(0.40102654695510864,)"
155,"(0.40098246932029724,)"
156,"(0.4009383022785187,)"
157,"(0.4008941054344177,)"
158,"(0.40084993839263916,)"
159,"(0.4008057415485382,)"
160,"(0.4007614850997925,)"
161,"(0.4007173478603363,)"
162,"(0.4006732404232025,)"
163,"(0.40062907338142395,)"
164,"(0.4005849361419678,)"
165,"(0.40054070949554443,)"
166,"(0.40049657225608826,)"
167,"(0.4004524350166321,)"
168,"(0.4004083275794983,)"
169,"(0.4003642797470093,)"
170,"(0.40032029151916504,)"
171,"(0.40027621388435364,)"
172,"(0.40023207664489746,)"
173,"(0.4001879096031189,)"
174,"(0.4001437723636627,)"
175,"(0.40009957551956177,)"
176,"(0.4000553488731384,)"
177,"(0.4000111520290375,)"
178,"(0.3999667763710022,)"
179,"(0.3999224007129669,)"
180,"(0.3998779356479645,)"
181,"(0.3998333811759949,)"
182,"(0.3997887969017029,)"
183,"(0.39974406361579895,)"
184,"(0.39969944953918457,)"
185,"(0.3996548354625702,)"
186,"(0.39961013197898865,)"
187,"(0.3995653986930847,)"
188,"(0.399520605802536,)"
189,"(0.39947569370269775,)"
190,"(0.39943069219589233,)"
191,"(0.3993856608867645,)"
192,"(0.39934056997299194,)"
193,"(0.39929550886154175,)"
194,"(0.39925041794776917,)"
195,"(0.39920535683631897,)"
196,"(0.3991602957248688,)"
197,"(0.39911508560180664,)"
198,"(0.3990698754787445,)"
199,"(0.39902451634407043,)"
200,"(0.398979127407074,)"
201,"(0.3989337980747223,)"
202,"(0.39888831973075867,)"
203,"(0.39884281158447266,)"
204,"(0.39879730343818665,)"
205,"(0.3987516164779663,)"
206,"(0.3987058103084564,)"
207,"(0.39865997433662415,)"
208,"(0.3986140191555023,)"
209,"(0.3985680043697357,)"
210,"(0.3985219895839691,)"
211,"(0.39847585558891296,)"
212,"(0.3984295129776001,)"
213,"(0.39838311076164246,)"
214,"(0.39833658933639526,)"
215,"(0.39828991889953613,)"
216,"(0.3982430398464203,)"
217,"(0.3981959819793701,)"
218,"(0.3981487452983856,)"
219,"(0.39810141921043396,)"
220,"(0.3980538845062256,)"
221,"(0.39800629019737244,)"
222,"(0.3979586064815521,)"
223,"(0.39791080355644226,)"
224,"(0.3978627920150757,)"
225,"(0.3978146016597748,)"
226,"(0.39776626229286194,)"
227,"(0.39771780371665955,)"
228,"(0.39766913652420044,)"
229,"(0.39762037992477417,)"
230,"(0.39757153391838074,)"
231,"(0.39752259850502014,)"
232,"(0.39747342467308044,)"
233,"(0.3974241316318512,)"
234,"(0.3973747193813324,)"
235,"(0.3973250389099121,)"
236,"(0.3972753882408142,)"
237,"(0.3972255289554596,)"
238,"(0.39717572927474976,)"
239,"(0.3971256613731384,)"
240,"(0.3970753848552704,)"
241,"(0.3970251977443695,)"
242,"(0.3969748616218567,)"
243,"(0.39692428708076477,)"
244,"(0.3968736529350281,)"
245,"(0.3968227803707123,)"
246,"(0.3967718482017517,)"
247,"(0.39672088623046875,)"
248,"(0.3966697156429291,)"
249,"(0.3966186046600342,)"
250,"(0.3965672254562378,)"
251,"(0.39651575684547424,)"
252,"(0.3964640498161316,)"
253,"(0.3964124023914337,)"
254,"(0.3963606059551239,)"
255,"(0.39630866050720215,)"
256,"(0.3962567150592804,)"
257,"(0.3962046205997467,)"
258,"(0.39615240693092346,)"
259,"(0.39610013365745544,)"
260,"(0.39604759216308594,)"
261,"(0.39599496126174927,)"
262,"(0.3959420919418335,)"
263,"(0.3958889842033386,)"
264,"(0.395835816860199,)"
265,"(0.3957825303077698,)"
266,"(0.39572903513908386,)"
