epoch,activation,layers,hidden_dim_1,hidden_dim_2,learning_rate,value
500,LRELU,2,200,200.0,0.00036107282419189435,0.12418459852536519
500,RELU,2,300,100.0,0.00045804127287141016,0.12930789093176523
500,LRELU,2,300,500.0,0.00011489966886673421,0.13280033071835837
500,LRELU,2,300,100.0,0.0006737626064538648,0.1349690854549408
500,LRELU,2,300,100.0,0.0006647265517098646,0.13646836082140604
500,RELU,2,100,500.0,0.0001020512562385692,0.13999060789744058
500,LRELU,2,300,100.0,0.0006697691627320215,0.143564835190773
100,LRELU,2,300,300.0,0.0002704166939723009,0.15394065280755362
100,LRELU,2,300,300.0,0.00015632864266234092,0.16041827201843262
500,RELU,1,300,,0.0001132931942864469,0.1717639317115148
1000,LRELU,1,200,,0.009437083606809716,0.2709361215432485
1000,RELU,1,300,,0.008278790983268927,0.28265536824862164
500,RELU,2,400,400.0,0.0021582150421594636,0.33299076557159424
2000,RELU,2,200,400.0,0.00043141288727250747,0.39132816592852276
5000,LRELU,2,300,500.0,0.00022922275910733811,0.4988911946614583
5000,RELU,2,400,200.0,0.003265931483831647,0.5850242674350739
2000,RELU,1,500,,0.01926061615583548,0.6282757520675659
10000,RELU,2,500,500.0,0.0017290702459026878,0.6351156036059061
1000,LRELU,2,100,400.0,0.06312107484486196,0.8893087307612101
10000,RELU,1,400,,0.041646290391214744,0.9707631866137186
