Epoch,Loss_train
1,"(0.722164511680603,)"
2,"(0.6870324015617371,)"
3,"(0.6537104845046997,)"
4,"(0.6222597360610962,)"
5,"(0.5926250219345093,)"
6,"(0.5647315382957458,)"
7,"(0.5385262966156006,)"
8,"(0.5139104723930359,)"
9,"(0.4908033311367035,)"
10,"(0.469096302986145,)"
11,"(0.4487331807613373,)"
12,"(0.42963144183158875,)"
13,"(0.411696195602417,)"
14,"(0.3948550224304199,)"
15,"(0.3790620267391205,)"
16,"(0.3642227351665497,)"
17,"(0.3502688407897949,)"
18,"(0.3371370732784271,)"
19,"(0.324802428483963,)"
20,"(0.31320467591285706,)"
21,"(0.3023221492767334,)"
22,"(0.2921034097671509,)"
23,"(0.2824954688549042,)"
24,"(0.27347004413604736,)"
25,"(0.2649855315685272,)"
26,"(0.2570226788520813,)"
27,"(0.249552384018898,)"
28,"(0.24255059659481049,)"
29,"(0.23599231243133545,)"
30,"(0.22985363006591797,)"
31,"(0.22410409152507782,)"
32,"(0.21872667968273163,)"
33,"(0.21370640397071838,)"
34,"(0.20901314914226532,)"
35,"(0.20463374257087708,)"
36,"(0.20054860413074493,)"
37,"(0.19674238562583923,)"
38,"(0.19320274889469147,)"
39,"(0.1899116486310959,)"
40,"(0.1868508756160736,)"
41,"(0.18400776386260986,)"
42,"(0.18137127161026,)"
43,"(0.17892801761627197,)"
44,"(0.1766684502363205,)"
45,"(0.17457929253578186,)"
46,"(0.17264820635318756,)"
47,"(0.17085812985897064,)"
48,"(0.1692052036523819,)"
49,"(0.16768285632133484,)"
50,"(0.16627615690231323,)"
51,"(0.16498154401779175,)"
52,"(0.16378431022167206,)"
53,"(0.16268093883991241,)"
54,"(0.16166430711746216,)"
55,"(0.16072902083396912,)"
56,"(0.1598687469959259,)"
57,"(0.15907523036003113,)"
58,"(0.15834322571754456,)"
59,"(0.15766724944114685,)"
60,"(0.15704168379306793,)"
61,"(0.15646173059940338,)"
62,"(0.15592192113399506,)"
63,"(0.15541847050189972,)"
64,"(0.1549464762210846,)"
65,"(0.15450310707092285,)"
66,"(0.1540851891040802,)"
67,"(0.15369005501270294,)"
68,"(0.15331481397151947,)"
69,"(0.15295684337615967,)"
70,"(0.15261410176753998,)"
71,"(0.1522834450006485,)"
72,"(0.1519637405872345,)"
73,"(0.15165363252162933,)"
74,"(0.15135180950164795,)"
75,"(0.15105724334716797,)"
76,"(0.15076874196529388,)"
77,"(0.15048538148403168,)"
78,"(0.1502063274383545,)"
79,"(0.14993071556091309,)"
80,"(0.14965815842151642,)"
81,"(0.1493879109621048,)"
82,"(0.14911970496177673,)"
83,"(0.14885342121124268,)"
84,"(0.14858894050121307,)"
85,"(0.1483255922794342,)"
86,"(0.148063063621521,)"
87,"(0.14780132472515106,)"
88,"(0.1475403755903244,)"
89,"(0.1472802460193634,)"
90,"(0.14702081680297852,)"
91,"(0.1467621922492981,)"
92,"(0.1465044766664505,)"
93,"(0.14624732732772827,)"
94,"(0.14599089324474335,)"
95,"(0.14573530852794647,)"
96,"(0.14548055827617645,)"
97,"(0.1452266424894333,)"
98,"(0.1449735313653946,)"
99,"(0.1447211056947708,)"
100,"(0.14446961879730225,)"
101,"(0.14421913027763367,)"
102,"(0.1439695805311203,)"
103,"(0.14372116327285767,)"
104,"(0.14347368478775024,)"
105,"(0.143227219581604,)"
106,"(0.1429818868637085,)"
107,"(0.14273761212825775,)"
108,"(0.1424943506717682,)"
109,"(0.1422521024942398,)"
110,"(0.14201094210147858,)"
111,"(0.1417708396911621,)"
112,"(0.1415318101644516,)"
113,"(0.14129379391670227,)"
114,"(0.14105691015720367,)"
115,"(0.14082108438014984,)"
116,"(0.14058642089366913,)"
117,"(0.14035280048847198,)"
118,"(0.1401202529668808,)"
119,"(0.13988855481147766,)"
120,"(0.1396578699350357,)"
121,"(0.13942815363407135,)"
122,"(0.13919945061206818,)"
123,"(0.13897176086902618,)"
124,"(0.13874532282352448,)"
125,"(0.1385199874639511,)"
126,"(0.13829563558101654,)"
127,"(0.13807225227355957,)"
128,"(0.13785003125667572,)"
129,"(0.1376289278268814,)"
130,"(0.1374087929725647,)"
131,"(0.13718964159488678,)"
132,"(0.13697177171707153,)"
133,"(0.13675501942634583,)"
134,"(0.1365392655134201,)"
135,"(0.13632403314113617,)"
136,"(0.1361089050769806,)"
137,"(0.13589458167552948,)"
138,"(0.13568106293678284,)"
139,"(0.13546834886074066,)"
140,"(0.13525648415088654,)"
