epoch,activation,layers,hidden_dim_1,learning_rate,value,hidden_dim_2
2000,RELU,1,300,0.00017087603239981984,0.12937519947687784,
500,RELU,1,100,0.0018637769000390565,0.13433349629243216,
100,RELU,1,300,0.0011803539018451503,0.15280735989411673,
500,LRELU,1,100,0.00032546327706934697,0.16323990126450857,
100,RELU,1,300,0.0009165447248502575,0.16396946708361307,
100,RELU,1,300,0.0007950509138540357,0.17401304841041565,
500,RELU,1,100,0.005852690548024013,0.2262545426686605,
2000,RELU,1,100,0.0019522721552400998,0.27509651084740955,
10000,LRELU,1,400,0.00022384495717518965,0.37163853645324707,
100,RELU,1,300,0.00012937239256007296,0.3938934803009033,
10000,LRELU,1,200,0.0003781201863425075,0.4152504603068034,
2000,LRELU,1,500,0.012105226464020307,0.5712623596191406,
2000,RELU,1,400,0.0036119281066409248,0.5781387289365133,
500,RELU,1,100,0.09700251713570508,0.6467875242233276,
5000,RELU,1,100,0.04602035185752829,0.8628454804420471,
500,RELU,2,500,0.03978938294057268,0.9124676783879598,100.0
1000,RELU,2,500,0.0027413936082384517,0.976047158241272,100.0
1000,LRELU,2,200,0.024201316921365016,1.0240362882614136,500.0
2000,RELU,2,300,0.037907199244513086,1.2005765835444133,500.0
5000,RELU,2,300,0.02876280691145721,1.4828229347864788,200.0
