medicament,count_diagnosis_0,count_diagnosis_1,total_records,proba_H/M,proba_H/NM
A02BA02,3082,597,3679,0.8377276433813536,0.012857631559185989
A02BB01,690,129,819,0.8424908424908425,0.0028501325931249845
A02BC01,1380,226,1606,0.8592777085927771,0.005716558134910772
A02BC02,2116,444,2560,0.8265625,0.008792195057091097
A02BC03,693,134,827,0.837968561064087,0.0028625599464664115
A02BC04,152,34,186,0.8172043010752689,0.0006264631211052128
A02BC05,637,174,811,0.7854500616522812,0.002630633458188621
A02BC06,138,40,178,0.7752808988764045,0.0005687297544571103
A03FA01,950,228,1178,0.8064516129032258,0.003928314463640348
A03FA03,492,102,594,0.8282828282828283,0.00203060769649844
A06AA02,257,87,344,0.747093023255814,0.0010596758299075979
A06AB06,85,33,118,0.7203389830508474,0.000350228060272189
A07AA02,496,92,588,0.8435374149659864,0.002047150498580202
A07DA03,331,62,393,0.8422391857506362,0.0013652130516017538
A07EC02,347,42,389,0.8920308483290489,0.001431299677854453
A10AB01,321,71,392,0.8188775510204082,0.0013239133393548707
A10AB04,618,176,794,0.7783375314861462,0.002551968484428037
A10AB05,283,108,391,0.7237851662404092,0.001167005496884549
A10AC01,613,153,766,0.8002610966057441,0.0025312692271163765
A10AE04,85,44,129,0.6589147286821705,0.000350228060272189
A10BA02,1216,312,1528,0.7958115183246073,0.005033779308517685
A10BB01,175,48,223,0.7847533632286996,0.000721325259986233
A11CC05,704,148,852,0.8262910798122066,0.0029081295439524124
A11HA02,282,53,335,0.8417910447761194,0.0011628770071999406
A12AA04,550,124,674,0.8160237388724035,0.0022705317998299164
A12AX,487,102,589,0.8268251273344652,0.0020099299619887987
B01AB04,564,145,709,0.7954866008462623,0.0023284617290066883
B01AB10,155,35,190,0.8157894736842105,0.0006388354236303163
B03AA07,3300,618,3918,0.8422664624808576,0.013779626196322092
B03BB01,7281,1532,8813,0.8261658912969477,0.030916803607597354
C01CA24,552,140,692,0.7976878612716763,0.0022788070940255624
C02AB02,399,98,497,0.8028169014084507,0.0016461414691503187
C03AA03,200,49,249,0.8032128514056225,0.0008244566830458728
C05AA01,788,122,910,0.865934065934066,0.0032562521694573464
C07AA05,268,49,317,0.8454258675078864,0.0011050817265664946
C07AG01,278,74,352,0.7897727272727273,0.0011463633889470775
C08CA01,114,30,144,0.7916666666666666,0.00046977376684386205
C08CA05,162,36,198,0.8181818181818182,0.0006677053193857111
C10AA05,218,51,269,0.8104089219330854,0.0008987244708656613
H01CC01,232,63,295,0.7864406779661017,0.0009564959266466572
H01CC02,155,44,199,0.7788944723618091,0.0006388354236303163
H02AB02,212,46,258,0.8217054263565892,0.0008739673169203371
H02AB04,410,100,510,0.803921568627451,0.0016916005842210799
H02AB07,2193,421,2614,0.8389441469013007,0.009115054179084005
